ReportID,ArrestDate,Time,Age,Sex,RaceCat,Charge,ChargeDescription,Address,CrossStreet,geometry,Name,Descriptio
5946814,06/01/2020 12:00:00 AM,2345,23,M,Hispanic/Latinx/Mexican,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,VAN NUYS,VALERIO,"c(-118.4487, 34.2048)",Van Nuys,NA
5945996,06/01/2020 12:00:00 AM,0830,29,M,Black,459PCAUTO,BURGLARY FROM VEHICLE,7300 N  LANKERSHIM                   BL,NA,"c(-118.392, 34.2045)",Sun Valley,NA
5947632,06/03/2020 12:00:00 AM,0050,45,M,Other,246.3(A)PC,WILLFUL DISCHRG FIREARM IN GROSS NEG MANNR,14600    LEADWELL                     ST,NA,"c(-118.4516, 34.2039)",Van Nuys,NA
5945931,06/01/2020 12:00:00 AM,0340,32,M,Hispanic/Latinx/Mexican,2800.2(A)VC,EVADE PO:DISREGARD SAFETY,BURBANK,WHITSETT,"c(-118.4045, 34.1721)",Valley Village,NA
5941585,05/28/2020 12:00:00 AM,0805,24,M,Hispanic/Latinx/Mexican,289(J)PC,PENETRATN OF VICT < 14:SUSPECT 10YR OLDR,1100 S  ALVARADO                     ST,NA,"c(-118.2808, 34.0503)",Pico-Union,NA
202110035,05/27/2020 12:00:00 AM,1455,54,M,Hispanic/Latinx/Mexican,25620(A)BP,DRINKING ALCOHOL,ROSCOE,CANOGA,"c(-118.5975, 34.2198)",Canoga Park,NA
200910548,06/01/2020 12:00:00 AM,2200,26,M,Hispanic/Latinx/Mexican,8.78 LAMC,NA,VAN NUYS,SHERMAN                      WY,"c(-118.4487, 34.2012)",Van Nuys,NA
5947099,06/02/2020 12:00:00 AM,1400,19,M,Black,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,11800 S  FIGUEROA                     ST,NA,"c(-118.2871, 33.9274)",Vermont Vista,NA
5945547,05/31/2020 12:00:00 AM,1600,36,F,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,11800    SANTA MONICA                 BL,NA,"c(-118.4585, 34.0427)",Sawtelle,NA
5941895,05/28/2020 12:00:00 AM,1530,27,M,Hispanic/Latinx/Mexican,459PC,BURGLARY,800 E  79TH                         ST,NA,"c(-118.2608, 33.9675)",Florence,NA
5945430,05/31/2020 12:00:00 AM,1620,41,M,Hispanic/Latinx/Mexican,422(A)PC,TERRORIZE CAUSING FEAR,5500    HAROLD                       WY,NA,"c(-118.3093, 34.0994)",East Hollywood,NA
200710216,05/31/2020 12:00:00 AM,0005,17,M,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,ORLANDO,BEVERLY,"c(-118.3732, 34.0761)",Beverly Grove,NA
200112917,06/03/2020 12:00:00 AM,2250,37,M,Black,11359HS,NA,800 S  HOPE                         ST,NA,"c(-118.259, 34.0466)",Downtown,NA
5943204,05/29/2020 12:00:00 AM,1100,19,F,White,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",LAS PALMAS,SELMA,"c(-118.3363, 34.0997)",Hollywood,NA
5944471,05/30/2020 12:00:00 AM,0633,38,M,Hispanic/Latinx/Mexican,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",200 N  SPRING                       ST,NA,"c(-118.2436, 34.0539)",Downtown,NA
5940686,05/27/2020 12:00:00 AM,1000,57,M,Black,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,400    WORLDWAY,NA,"c(-118.4095, 33.942)",Westchester,NA
5941350,05/28/2020 12:00:00 AM,0031,32,M,Hispanic/Latinx/Mexican,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,VISTA DEL MAR,NEPOLEN,"c(-118.4455, 33.9619)",Playa del Rey,NA
5947108,06/02/2020 12:00:00 AM,1400,31,F,Black,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,LOS ANGELES                  ST,ARCADIA                      ST,"c(-118.2392, 34.0553)",Downtown,NA
5942688,05/29/2020 12:00:00 AM,0500,19,F,Black,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,1100 S  BEVERLY                      DR,NA,"c(-118.3962, 34.0564)",Pico-Robertson,NA
200910463,06/01/2020 12:00:00 AM,2230,33,F,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,VAN NUYS                     BL,SHERMAN                      WY,"c(-118.4487, 34.2012)",Van Nuys,NA
201500822,05/28/2020 12:00:00 AM,1708,25,M,Black,12556(PC),NA,10600    BURBANK                      BL,NA,"c(-118.3615, 34.1722)",North Hollywood,NA
5948447,06/03/2020 12:00:00 AM,2240,31,M,White,602(O)(1)PC,REFUSE TO LEAVE PROPERTY UPON REQUEST P.O.,500    NEVA                         PL,NA,"c(-118.1869, 34.1202)",Highland Park,NA
5945526,05/31/2020 12:00:00 AM,1910,20,M,Hispanic/Latinx/Mexican,23110(B)VC,THROW SUBSTANCE AT VEHICLE W/GBI INTENT,ANAHEIM,FOOTE,"c(-118.2294, 33.782)",Wilmington,NA
200910578,06/01/2020 12:00:00 AM,2250,23,M,Black,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,SHERMAN                      WY,VAN NUYS,"c(-118.4487, 34.2012)",Van Nuys,NA
5942719,05/29/2020 12:00:00 AM,0800,29,F,Hispanic/Latinx/Mexican,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,6600    BALBOA                       BL,NA,"c(-118.5011, 34.1911)",Lake Balboa,NA
202110017,06/01/2020 12:00:00 AM,2325,33,M,Black,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,21900 W  VENTURA                      BL,NA,"c(-118.6038, 34.1685)",Woodland Hills,NA
200810430,06/01/2020 12:00:00 AM,2100,15,F,Black,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,10100    WILSHIRE                     BL,NA,"c(-118.4289, 34.0737)",Westwood,NA
201009515,05/29/2020 12:00:00 AM,1110,64,M,Other,11358HS,NA,5300    VANALDEN                     AV,NA,"c(-118.5579, 34.1687)",Tarzana,NA
